NomeComp;percentage20_Donald_Trump;percentage20_Joe_Biden;cases;deaths;TotalPop;IncomePerCap;Poverty;ChildPoverty;Unemployment;population_density_per_sqmi;percent_no_highschool_diploma;percent_age_65_and_older;percent_rural;percent_smokers;percent_adults_with_obesity;percent_physically_inactive;percent_excessive_drinking;life_expectancy;percent_adults_with_diabetes;percent_food_insecure;violent_crime_rate;homicide_rate
Iowa Harrison;0.684;0.3;741;17;14196;29332;10.4;13.1;1.7;205714000000000;9;19;8111602358;15706791116;39.8;24.9;20466768688;78634874348;15.1;10.1;31627776216;NA
Iowa Henry;0.653;0.329;1178;6;19865;26340;12.2;19.5;5.5;459126000000000;8;17.7;57130801688;16506831267;34.8;29.2;19902831418;79498986104;6.9;11.2;22470735786;NA
Iowa Howard;0.631;0.358;293;9;9321;27906;11.6;14.2;2.9;199261000000000;11.1;20.1;6299393686;16004380924;31.6;24.5;19751478997;79335389187;7.7;10.5;63485345466;NA
Iowa Humboldt;0.718;0.271;395;3;9586;29587;13;20.6;3.3;221174000000000;6.9;20.6;46581762608;164724998;29.6;22;20472374493;79265063331;6.8;11.1;57378331855;NA
Iowa Ida;0.748;0.238;247;2;6965;30192;10.3;10.3;3.2;163172000000000;6.7;21.7;100;1576016834;30.3;30.3;19871761425;7813010708;7.9;10.1;16217740798;NA
Iowa Iowa;0.618;0.365;488;10;16231;29881;9.8;14.7;2.1;278384000000000;7.9;18;8218281871;14756389522;31.5;20;20528300645;79818162853;9.7;9.8;10380411553;NA
Iowa Jackson;0.624;0.362;768;3;19409;27672;12;15.3;4.7;307041000000000;8.8;19.7;53269850867;15429743066;31.1;35.6;20333521772;79472232695;6.7;11.1;82253752827;NA
Iowa Jasper;0.599;0.383;1318;34;36789;27214;9.1;9.7;4.6;50265800000000;7.6;18;57507735736;15298066638;36.1;24.6;20776908998;79247530519;14;10.4;25325418006;NA
Iowa Jefferson;0.496;0.482;282;1;17945;26630;15.2;24.8;6.7;405543000000000;5.1;18.1;38728255061;15291315628;28.2;15.4;18577414588;80091532564;7.7;13.1;83994670683;NA
Iowa Johnson;0.274;0.708;6264;31;144425;33039;17.7;11.1;3.3;231268000000000;5.3;9.8;18536544368;1452809202;26.4;16.8;24579921071;82688576793;6;13.4;27093972025;10901591335
Iowa Jones;0.599;0.384;590;4;20468;29653;9.1;10.5;4.2;355807000000000;7.9;18.6;57956197306;15301391108;37.6;29.3;2206571576;81739237292;7.7;10.6;NA;NA
Iowa Keokuk;0.718;0.267;213;1;10223;26638;11.2;13.2;5.3;176698000000000;8.7;20.3;100;15326639467;36.6;26.8;20663720725;79239019977;6.5;11;13619524951;NA
Iowa Kossuth;0.691;0.297;519;0;15166;29949;10;14.1;2.1;156528000000000;5.7;22.1;65643698128;15345027535;35.9;26.5;19662608815;82490888658;8.6;9.7;15803509696;NA
Iowa Lee;0.584;0.391;1093;13;34785;24408;16.3;24.5;7.6;679623000000000;8.2;18.8;40616808878;18141968097;40.3;30.3;21066922919;76585063208;13.2;13.5;48021078279;NA
Iowa Linn;0.419;0.556;6730;135;220008;32786;9.5;11.4;3.8;304194000000000;5.4;14.3;12747957164;1637223578;34.4;22.5;21259865946;80221422816;9.3;10.8;22577117601;29855434792
Iowa Louisa;0.657;0.324;562;15;11238;27234;11;13.8;4.1;280035000000000;17.3;16.3;100;16194528616;37.2;31.2;19978706811;7828348307;8.9;8.6;15614543832;NA
